station_id,time,cs,fof2,hmF2,foE,MUFD,hF2
AL945,2026-02-05 10:45:00+00:00,70,3.025,8.49,,302.5,337.5
MHJ45,2026-02-05 10:45:00+00:00,0,3.725,12.53,,212.5,
AL945,2026-02-05 10:52:30+00:00,70,2.850,8.51,,297.5,315.5
MHJ45,2026-02-05 10:52:30+00:00,0,3.375,10.72,,210.0,
AL945,2026-02-05 11:00:00+00:00,70,2.800,8.90,,295.0,295.2
MHJ45,2026-02-05 11:00:00+00:00,80,3.175,10.06,,277.5,285.5
MHJ45,2026-02-05 11:07:30+00:00,80,3.375,10.14,,265.0,300.3
AL945,2026-02-05 11:07:30+00:00,70,2.600,7.89,,302.5,311.2
MHJ45,2026-02-05 11:15:00+00:00,70,3.100,9.23,,285.0,299.6
AL945,2026-02-05 11:15:00+00:00,70,2.625,8.01,,280.0,327.3
AL945,2026-02-05 11:22:30+00:00,70,2.300,7.75,,292.5,269.3
MHJ45,2026-02-05 11:22:30+00:00,60,3.100,6.49,,550.0,485.0
MHJ45,2026-02-05 11:30:00+00:00,70,3.725,10.58,,312.5,315.9
MHJ45,2026-02-05 11:37:30+00:00,70,4.050,11.68,,270.0,304.2
AL945,2026-02-05 11:37:30+00:00,70,2.200,6.49,,402.5,301.8
MHJ45,2026-02-05 11:45:00+00:00,70,4.577,13.19,,275.0,310.6
AL945,2026-02-05 11:45:00+00:00,70,2.225,6.58,,382.5,309.2
MHJ45,2026-02-05 11:52:30+00:00,70,5.175,16.17,,257.5,278.7
AL945,2026-02-05 11:52:30+00:00,60,2.425,5.57,,585.0,394.7
AL945,2026-02-05 12:00:00+00:00,70,2.350,5.84,,532.5,345.2
MHJ45,2026-02-05 12:00:00+00:00,90,5.625,18.78,,240.0,259.5
MHJ45,2026-02-05 12:07:30+00:00,90,6.350,21.08,,235.0,267.1
AL945,2026-02-05 12:07:30+00:00,70,2.575,6.97,,370.0,337.2
MHJ45,2026-02-05 12:15:00+00:00,90,6.875,23.43,,225.0,255.5
AL945,2026-02-05 12:15:00+00:00,70,2.850,8.25,,322.5,307.5
AL945,2026-02-05 12:22:30+00:00,70,3.200,9.33,,292.5,311.7
MHJ45,2026-02-05 12:22:30+00:00,90,7.225,24.73,2.03,217.5,244.7
AL945,2026-02-05 12:30:00+00:00,70,3.525,10.81,,277.5,282.4
MHJ45,2026-02-05 12:30:00+00:00,90,7.450,26.16,,220.0,243.3
MHJ45,2026-02-05 12:37:30+00:00,70,7.400,25.20,2.20,212.5,240.6
AL945,2026-02-05 12:37:30+00:00,70,4.075,13.56,,270.0,265.2
MHJ45,2026-02-05 12:45:00+00:00,70,8.100,26.42,2.15,225.0,246.6
AL945,2026-02-05 12:45:00+00:00,40,4.800,16.39,,255.0,254.0
